numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep
2633E1521962M,2026-06-06,NYK4VMSVTH6P,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,64.5,D,B,215
2633E1522136E,2026-06-06,PEEANFYC1CFZ,33069_1463_00078,78 Rue du Président Kennedy 33110 Le Bouscat,33110,Le Bouscat,33,appartement,1948-1974,1964,62.3,D,D,160.3
2633E1521880I,2026-06-06,6NH11YDZNGDN,33009_2150_00009,9 Rue Sully Melendes 33120 Arcachon,33120,Arcachon,33,appartement,1948-1974,1961,45.9,D,D,180
2633E1522137F,2026-06-06,,33243_0110_00007,7 Rue Belliquet 33500 Libourne,33500,Libourne,33,appartement,1948-1974,,27.7,D,B,246
2633E1522532K,2026-06-06,,33550_0732_00006,6 Rue Jean Pages 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,1948-1974,,43.9,D,B,226
2633E1522055B,2026-06-06,38BD5YBVCHSR,33063_4040_00026,26 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,59.6,C,A,123
2633E1522816I,2026-06-06,,33522_2084_00014,14 Petit Chemin d'Ars 33400 Talence,33400,Talence,33,maison,1948-1974,,190.9,E,E,257
2633E1522386U,2026-06-06,1DN9AFRFAQSA,33529_0150_00017,17 Rue André Lesca 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1948-1974,1974,117.1,F,E,379
2633E1522489T,2026-06-06,38BD5YBVCHSR,33063_4040_00026,26 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,56.3,E,C,302
2633E1522281T,2026-06-06,MR3Z7ER1VPK2,33119_1653_00011,11 Avenue René Cassagne 33150 Cenon,33150,Cenon,33,appartement,2006-2012,,43.9,C,C,107
2633E1522605F,2026-06-06,,33063_1835_00013,13 Impasse Chanau 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,20.4,F,C,407
2633E1521873B,2026-06-06,38BD5YBVCHSR,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,51.1,C,B,174
2633E1522641P,2026-06-06,,33236_0940_00034,34 Rue des Lilas Cap Ferret 33970 Lège-Cap-Ferret,33970,Lège-Cap-Ferret,33,maison,1975-1977,,88.4,E,C,318
2633E1522360U,2026-06-06,,33004_0121_00022,22 Rue Maurice Herzog 33810 Ambès,33810,Ambès,33,maison,1948-1974,,73.7,E,C,253
2633E1522496A,2026-06-06,,33312_0442,Rue de Landegrand 33290 Parempuyre,33290,Parempuyre,33,maison,2013-2021,2015,84.2,B,A,79
2633E1522318E,2026-06-06,,33063_7130_00003,3 Rue Pere Louis de Jabrun 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,1949,26.6,E,C,343.9
2633E1521756O,2026-06-06,XD6125D8HA97,33449_0131_00004,4 Chemin de l'Atelier 33160 Saint-Médard-en-Jalles,33160,Saint-Médard-en-Jalles,33,appartement,2013-2021,2020,42.9,C,C,85
2633E1522466W,2026-06-06,,33069_0788_00008,8 Impasse Henry Yvonnet 33110 Le Bouscat,33110,Le Bouscat,33,maison,après 2021,2023,207,B,B,64
2633E1523090W,2026-06-06,WD9ND1ZK71YT,33539_0025_00005,5 Rue des Cèdres 33870 Vayres,33870,Vayres,33,maison,1948-1974,,129.9,D,C,229
2633E1522919H,2026-06-06,A8HGNKQ6SAC9,33298_0094_00800,800 Route du Stade 33420 Moulon,33420,Moulon,33,maison,1948-1974,,106.4,D,D,246
2633E1522116K,2026-06-06,VXYH5CNNEXTN,33357_lqkkso_00037,37 Route du Brion 33210 Roaillan,33210,Roaillan,33,maison,1989-2000,,75.1,C,A,150
2633E1522554G,2026-06-06,EHW25WNB1HFE,33063_2390_00078,78 Rue de la Croix Blanche 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,84.9,D,D,195
2633E1521394Q,2026-06-06,QXH8CB5ZJEE8,33366_0200_00010,10 Rue Coureau 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,appartement,avant 1948,,60.3,D,B,203
2633E1522867H,2026-06-06,,33119_1314_00002,2 Allée Charlotte Lescure 33150 Cenon,33150,Cenon,33,appartement,2001-2005,,65.2,C,A,155
2633E1521937N,2026-06-06,NYK4VMSVTH6P,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,40.5,D,B,198
2633E1522691N,2026-06-06,SA87GEBQMHQ1,33039_0340_00004,4 Chemin Bonnevie 33130 Bègles,33130,Bègles,33,maison,avant 1948,,404,D,D,241
2633E1521908K,2026-06-06,NGMH6AQW51YV,33167_1xvuh3_00015,15 Lotissement le Clos de la Payssière 33270 Floirac,33270,Floirac,33,maison,2001-2005,,104,D,D,164
2633E1522611L,2026-06-06,NYK4VMSVTH6P,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,51,E,C,311
2633E1522390Y,2026-06-06,JP9AZZNZ7M6V,33003_0091_00021,21 Chemin de Brechet 33440 Ambarès-et-Lagrave,33440,Ambarès-et-Lagrave,33,maison,2006-2012,,106.1,C,A,123
2633E1522501F,2026-06-06,38BD5YBVCHSR,33063_4040_00026,26 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,48.3,G,C,459
2633E1521893V,2026-06-06,38BD5YBVCHSR,33063_4040_00026,26 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,56.8,E,B,266
2633E1522802U,2026-06-06,JT1E5XKZSPHB,33063_4510_00009,9 Cours de l'Intendance 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,99.7,C,A,137
2633E1522395D,2026-06-06,JBYDSGD8ZESV,33122_0872_00009,9 Allee Bourdalat 33610 Cestas,33610,Cestas,33,maison,1948-1974,,85.3,D,D,230
2633E1522925N,2026-06-06,EBCXCQTKC4DQ,33522_0910_00001,1 Rue des Epoux Lesgourgues 33400 Talence,33400,Talence,33,appartement,1989-2000,,18.3,C,A,163
2633E1522464U,2026-06-06,,33063_3645_00053,53 Rue Francin 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,32.5,C,A,153
2633E1521780M,2026-06-06,9K9PWWHHYPC8,33393_0230_00027,27 Route de Paris 33910 Saint-Denis-de-Pile,33910,Saint-Denis-de-Pile,33,appartement,avant 1948,,96.1,C,A,116
2633E1522655D,2026-06-06,NYK4VMSVTH6P,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,1948-1974,,37.3,E,C,331
2633E1522043P,2026-06-06,,33039_70ym8y_00215,215 Boulevard Albert 1er 33130 Bègles,33130,Bègles,33,immeuble,1948-1974,,,F,E,344
2633E1522692O,2026-06-06,,33522_1320,Rue du Haut Carre 33400 Talence,33400,Talence,33,appartement,1948-1974,,32.1,D,D,209
2633E1521724I,2026-06-06,,33063_3570_00082,82 Rue Fondaudege 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,110.9,B,A,70
2633E1522077X,2026-06-06,SND9X8YDHJQK,33318_2907_00010,10 Rue du Relais 33600 Pessac,33600,Pessac,33,appartement,1948-1974,,27.7,C,C,171
2633E1521860O,2026-06-06,,33039_0620_00006,6 Rue Denfert-Rochereau 33130 Bègles,33130,Bègles,33,appartement,1948-1974,,56.9,B,A,105
2633E1521800G,2026-06-06,A3Y5QSS9GWH1,33039_0510_00032,32 Rue Charles Lamoureux 33130 Bègles,33130,Bègles,33,maison,avant 1948,,118.5,D,D,162
2633E1521995T,2026-06-06,NYK4VMSVTH6P,33063_4040_00024,24 Rue Giner de Los Rios 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,52,G,C,480
2633E1521957H,2026-06-06,,33063_0670_00018,18 Rue Baste 33300 Bordeaux,33300,Bordeaux,33,appartement,avant 1948,1900,32.9,F,C,345
2633E1522079Z,2026-06-06,V1796C4K85V2,33058_0288_00004,4 Sentier du Monteil 33390 Blaye,33390,Blaye,33,appartement,2006-2012,2006,52.5,C,A,129
2633E1521703N,2026-06-06,,33529_0460_00013,13 Rue de Braouet 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,appartement,après 2021,,67,A,A,61
2633E1522279R,2026-06-06,5Z3XM3VDZTZD,33281_0205_00006,6 Rue Arthur Rubinstein 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,1983,69.4,C,A,153.6
2633E1522703Z,2026-06-06,DBYWDRXY8N2Q,33075_0218_00007,7 Rue Jeanne Lejeune 33520 Bruges,33520,Bruges,33,maison,1983-1988,,146,D,D,188
2633E1522005D,2026-06-06,,33318_2500,Avenue Pasteur 33600 Pessac,33600,Pessac,33,appartement,2013-2021,,64.2,C,C,74
2633E1522531J,2026-06-06,MDQJHHZ13YX3,33063_0745_00094,94 Rue de la Bechade 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,,28.5,C,A,173
2633E1520010K,2026-06-05,,33009_2220_00027,27 Avenue Théophile Gautier 33120 Arcachon,33120,Arcachon,33,maison,1983-1988,,262,C,C,97
2633E1520443B,2026-06-05,5N3ME9BVPM9X,33130_0070_00768,768 Rue du Sabla 33210 Coimères,33210,Coimères,33,maison,2013-2021,2020,135,A,A,37
2633E1519771F,2026-06-05,,33529_2422_00022,22 Avenue de la Pinède de Conteau 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1978-1982,1982,150,B,A,96.9
2633E1519397V,2026-06-05,YBAMAHDMC7YT,33080_0496_00064,64 Chemin de Pate 33140 Cadaujac,33140,Cadaujac,33,appartement,2013-2021,,46.6,C,C,71
2633E1518215J,2026-06-05,,33119_1653_00011,11 Avenue René Cassagne 33150 Cenon,33150,Cenon,33,appartement,2013-2021,,48.1,C,C,90
2633E1510024I,2026-06-05,,33393_0013_00011,11 Chemin des Acacias 33910 Saint-Denis-de-Pile,33910,Saint-Denis-de-Pile,33,maison,2001-2005,2001,125.2,D,D,149
2633E1520019T,2026-06-05,AX63SZ53R95H,33312_0546_00004,4 Rue Simone Veil 33290 Parempuyre,33290,Parempuyre,33,appartement,2013-2021,2020,63.8,C,C,99
2633E1510151F,2026-06-05,,33075_0109_00013,13 Rue du Couvent 33520 Bruges,33520,Bruges,33,appartement,1989-2000,,66,D,B,184
2633E1512410C,2026-06-05,K12XB7CD417G,33063_6875_00117,117 Rue du Palais Gallien 33000 Bordeaux,33000,Bordeaux,33,immeuble,avant 1948,,,E,E,263
2633E1512225Z,2026-06-05,,33522_1110_00215,215 Rue Frédéric Sevene 33400 Talence,33400,Talence,33,appartement,1948-1974,,26.3,E,E,326
2633E1517126M,2026-06-05,J9TGT4BNQAMK,33063_8965_00044,44 Rue de Tivoli 33000 Bordeaux,33000,Bordeaux,33,appartement,1975-1977,1976,29.9,D,D,242
2633E1514116S,2026-06-05,FP6CB7S3M1P8,33032_0439_00014,14 Rue Lafontaine 33530 Bassens,33530,Bassens,33,maison,2013-2021,,81,B,B,47
2633E1512914M,2026-06-05,AW99H34VW32G,33355_uozrze_00330,330 Chemin de Ruan 33410 Rions,33410,Rions,33,maison,avant 1948,,58,E,C,310
2633E1519261P,2026-06-05,,33363_0050_00007,7 Chemin de Brogeon 33670 Sadirac,33670,Sadirac,33,maison,1948-1974,,157,B,A,95
2633E1516498I,2026-06-05,,33281_0305_00026,26 Avenue de Belle France 33700 Mérignac,33700,Mérignac,33,appartement,2013-2021,,46.4,C,C,93
2633E1520155Z,2026-06-05,,33318_2370_00053,53 Avenue de Noès 33600 Pessac,33600,Pessac,33,appartement,2013-2021,,18,D,D,198
2633E1520760G,2026-06-05,,33162_0395_00033,33 Rue de la Marne 33320 Eysines,33320,Eysines,33,maison,avant 1948,1890,99,E,E,252
2633E1519318U,2026-06-05,,33550_1245,Avenue des Pyrénées 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2019,41.1,C,C,85
2633E1515405H,2026-06-05,,33063_7618_00001,1 Rue du Prof. Georges Jeanneney 33300 Bordeaux,33300,Bordeaux,33,appartement,2006-2012,,35.1,C,A,137
2633E1512446M,2026-06-05,79KZ4HHN3QB2,33281_2560_00015,15 Rue Robert Laurent 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,1988,46,C,B,171.3
2633E1514457V,2026-06-05,RJDR974BBZRJ,33063_ndkh37_00492,492 Avenue du Maréchal de Lattre de Tassigny 33200 Bordeaux,33200,Bordeaux,33,maison,avant 1948,,57.5,C,A,130
2633E1519244Y,2026-06-05,,33514_0342_00003,3 Rue des Calups 33780 Soulac-sur-Mer,33780,Soulac-sur-Mer,33,maison,2013-2021,,109,A,A,50
2633E1509943F,2026-06-05,V1796C4K85V2,33058_0288_00004,4 Sentier du Monteil 33390 Blaye,33390,Blaye,33,appartement,2006-2012,2006,33.3,C,A,160.6
2633E1515489N,2026-06-05,MNVB2ZN5SB9X,33449_0777_00003,3 Rue Marguerite Yourcenar 33160 Saint-Médard-en-Jalles,33160,Saint-Médard-en-Jalles,33,maison,2013-2021,,91.6,C,C,90
2633E1515295B,2026-06-05,QANVGJ933525,33063_0365_00034,34 Cours de l'Argonne 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,17.1,C,B,216
2633E1515676S,2026-06-05,,33063_9500_00026,26 Cours de l'Yser 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,88.1,D,B,186
2633E1520947L,2026-06-05,STE4F5NKDKCQ,33522_1344,Rue Henri de Toulouse Lautrec 33400 Talence,33400,Talence,33,appartement,1948-1974,1970,51,D,D,226
2633E1515583D,2026-06-05,Q39CQ7ZCDWGM,33318_2330_00002,2 Avenue Montaigne 33600 Pessac,33600,Pessac,33,appartement,avant 1948,1926,115,D,D,199.4
2633E1515060A,2026-06-05,,33075_0035_00025,25 Rue Ausone 33520 Bruges,33520,Bruges,33,immeuble,2006-2012,2010,,C,A,142
2633E1518896O,2026-06-05,,33550_1220_00006,6 Rue du Professeur Calmette 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,avant 1948,,48.2,F,F,319
2633E1517144E,2026-06-05,3F8M5WRP5SDN,33333_0144_00011,11 Avenue de l'Océan 33680 Le Porge,33680,Le Porge,33,maison,1978-1982,1980,116.1,C,A,122
2633E1519286O,2026-06-05,QXP83PJSNSPK,33119_0455_00010,10 Côte de l'Empereur 33150 Cenon,33150,Cenon,33,appartement,2013-2021,2016,42.2,C,C,112
2633E1518318I,2026-06-05,,33063_3985_00068,68 Cours Georges Clémenceau 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,79.2,D,B,200
2633E1515377F,2026-06-05,,33063_7618_00001,1 Rue du Prof. Georges Jeanneney 33300 Bordeaux,33300,Bordeaux,33,appartement,2006-2012,,24,C,A,158
2633E1514793T,2026-06-05,8BMQXAM1VFBJ,33063_7105_00268,268 Rue Pelleport 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,49.8,D,B,211
2633E1515447X,2026-06-05,,33063_7618_00010,10 Rue du Prof. Georges Jeanneney 33300 Bordeaux,33300,Bordeaux,33,appartement,2006-2012,,17.1,D,B,259
2633E1511348G,2026-06-05,,33063_0120_00085,85 Cours d'Albret 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,33.6,G,C,579
2633E1512188O,2026-06-05,YSCSAGZ5VFJB,33063_0320_00022,22 Boulevard Antoine Gautier 33000 Bordeaux,33000,Bordeaux,33,maison,avant 1948,,194.1,D,D,160
2633E1513421Z,2026-06-05,,33522_0075_00004,4 Rue Alphonse Daudet 33400 Talence,33400,Talence,33,maison,1975-1977,1976,161.7,D,D,153
2633E1509866G,2026-06-05,,33063_nyv89g_00082,82 Rue Famatina 33200 Bordeaux,33200,Bordeaux,33,appartement,1948-1974,1970,81.5,D,D,182.7
2633E1510281F,2026-06-05,,33069_0834,Rue Jacques Prévert 33110 Le Bouscat,33110,Le Bouscat,33,appartement,1978-1982,,68.5,D,D,183
2633E1519633X,2026-06-05,G1XNRXB3AN16,33063_7725,Rue des Queyries 33100 Bordeaux,33100,Bordeaux,33,appartement,2013-2021,2019,99.1,B,A,74.8
2633E1519936O,2026-06-05,,33063_6870_00024,24 Place du Palais 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,61.7,E,B,250
2633E1518933Z,2026-06-05,,33281_1816_00013,13 Rue Marbotin 33700 Mérignac,33700,Mérignac,33,appartement,1978-1982,1981,69,C,C,121
2633E1512195V,2026-06-05,,33463_a017_00017,17 Residence le Panchet 33490 Saint-Pierre-d'Aurillac,33490,Saint-Pierre-d'Aurillac,33,maison,1983-1988,,69,C,C,149
2633E1513466S,2026-06-05,,33063_5875_00001,1 Rue Malleret 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,1900,32.8,D,B,237
2633E1519478Y,2026-06-05,,33227_1111,Les Jardins de la Palmeraie 33210 Langon,33210,Langon,33,appartement,2006-2012,2008,43.8,C,A,119
2633E1518907Z,2026-06-05,,33063_0480_00001,1 Rue des Augustins 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,58.6,D,B,181
2633E1520263D,2026-06-05,,33063_7298_00051,51 Rue Pierre de Ladime 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,50.3,E,E,258
2633E1514191P,2026-06-05,1VEQFQSEC7JY,33529_3150_00014,14 Rue Victor Hugo 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,appartement,2006-2012,,41.6,C,A,123
2633E1515856Q,2026-06-05,,33281_0996_00013_bis,13bis Avenue de la Fraternelle 33700 Mérignac,33700,Mérignac,33,maison,après 2021,,110,A,A,45
2633E1513716I,2026-06-05,QT597D1SS2Z9,33537_0039,Chemin de Pilet 33730 Uzeste,33730,Uzeste,33,maison,avant 1948,,129,C,C,177
2633E1511295F,2026-06-05,,33005_0856_00047,47 Rue de la Vénerie 33510 Andernos-les-Bains,33510,Andernos-les-Bains,33,maison,2006-2012,2008,111.5,B,A,103.4
2633E1518431R,2026-06-05,VXSSRW5EYC7R,33162_0810_00003,3 Rue Moebius 33320 Eysines,33320,Eysines,33,appartement,2013-2021,,41.9,C,C,89
2633E1520090M,2026-06-05,,33535_0035_00010,10 Impasse Miramalous 33370 Tresses,33370,Tresses,33,maison,2001-2005,,87,C,B,179
2633E1509921J,2026-06-05,,33301_3jcuu5_00004,4 Girolatte 33420 Naujan-et-Postiac,33420,Naujan-et-Postiac,33,maison,avant 1948,,120.2,E,E,195
2633E1511487P,2026-06-05,,33042_0112_00059,59 Route de Hillan 33830 Belin-Béliet,33830,Belin-Béliet,33,maison,2006-2012,,104.5,C,A,153
2633E1518763L,2026-06-05,WCB9AEYDR7EH,33200_0551_00008,8 Rue Jupiter 33185 Le Haillan,33185,Le Haillan,33,maison,2006-2012,,74,C,A,144
2633E1518023Z,2026-06-05,,33063_4405_00007,7 Passage Hermitte 33000 Bordeaux,33000,Bordeaux,33,appartement,2006-2012,2011,68.5,C,A,121
2633E1516968K,2026-06-05,,33281_1905_00004,4 Avenue du Maréchal Juin 33700 Mérignac,33700,Mérignac,33,appartement,1948-1974,1970,37.5,C,C,80
2633E1514578M,2026-06-05,RHZE9398E8RG,33119_1201_00020,20 Rue du 8 Mai 1945 33150 Cenon,33150,Cenon,33,appartement,1975-1977,,63.4,D,B,228
2633E1512742W,2026-06-05,7KFAD8AG5QCK,33063_4810_00290,290 Rue Judaïque 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,1982,34.6,D,B,190
2633E1517193B,2026-06-05,3R42HYRGYHY9,33227_0918_00010,10 Rue Marie Curie 33210 Langon,33210,Langon,33,maison,1948-1974,,116.8,D,D,196
2633E1518117P,2026-06-05,,33281_1770,Rue Lucien Baude 33700 Mérignac,33700,Mérignac,33,appartement,1989-2000,,61.7,C,B,166
2633E1511891D,2026-06-05,SYGQJ7XQV8GH,33318_0273_00001,1 Rue Armand Calmon 33600 Pessac,33600,Pessac,33,appartement,1948-1974,,63.4,D,D,220
2633E1515747L,2026-06-05,,33249_0310_00050,50 Rue Gabriel Dedieu 33310 Lormont,33310,Lormont,33,maison,avant 1948,,68,D,B,189
2633E1516799X,2026-06-05,,33063_8920_00222,222 Avenue Thiers 33100 Bordeaux,33100,Bordeaux,33,appartement,2006-2012,2010,44.7,B,A,109
2633E1520819N,2026-06-05,,33318_2120_00060,60 Avenue de Magonty 33600 Pessac,33600,Pessac,33,maison,avant 1948,,140,C,B,157
2633E1519118C,2026-06-05,4FQEY2MVRWBD,33011_0223_00016,16 Rond Point des Esteys 33740 Arès,33740,Arès,33,maison,2006-2012,2011,145.9,A,A,62
2633E1511104W,2026-06-05,,33496_0075_00014,14 Chemin de la Gravette 33370 Sallebœuf,33370,Sallebœuf,33,maison,avant 1948,,200,F,F,313
2633E1519615F,2026-06-05,ATQVBJJJYVJN,33214_0569_00023,23 Rue des Freres Estrade 33680 Lacanau,33680,Lacanau,33,maison,avant 1948,,102,B,A,91
2633E1512154G,2026-06-05,PQ2BDB1NQ7WR,33088_1025_00013,13 Rue du Bourjadon 33660 Camps-sur-l'Isle,33660,Camps-sur-l'Isle,33,maison,après 2021,,164,A,A,53
2633E1520885B,2026-06-05,6X4Q16QNCJ97,33214_a038_00001,1 Residence Horizon Marin 33680 Lacanau,33680,Lacanau,33,appartement,1989-2000,1990,24.3,D,B,233
2633E1518868M,2026-06-05,YRP3VD7VJVY1,33243_0273_00052,52 Chemin du Casse 33500 Libourne,33500,Libourne,33,appartement,2006-2012,2006,20.8,C,A,216
2633E1510335H,2026-06-05,Z2S2HR6KC9NY,33422_0007_00025,25 Allee Albert Schweitzer 33127 Saint-Jean-d'Illac,33127,Saint-Jean-d'Illac,33,appartement,2013-2021,2015,62.9,C,C,96
2633E1520375L,2026-06-05,E28HV3Z5HG3X,33063_2708_00059,59 Rue Docteur Finlay 33300 Bordeaux,33300,Bordeaux,33,appartement,2013-2021,2016,20.3,C,A,151
2633E1519631V,2026-06-05,E3CPK17RN747,33138_0775_00168,168 Rue Pierre Brossolette 33230 Coutras,33230,Coutras,33,maison,avant 1948,,160,D,D,156
2633E1512146Y,2026-06-05,RQYXFACJXHFV,33281_1217_00005,5 Allée des Geraniums 33700 Mérignac,33700,Mérignac,33,appartement,1948-1974,1960,51.3,D,D,170
2633E1509819L,2026-06-05,6FGSSX335W5F,33433_0217_00029,29 Chemin de l'Estrille 33450 Saint-Loubès,33450,Saint-Loubès,33,maison,avant 1948,1900,60.3,D,B,205.2
2633E1512004M,2026-06-05,B7WQ3G7DW6PM,33408_9112_00200,200 Allée des Platanes 33670 Saint-Genès-de-Lombaud,33670,Saint-Genès-de-Lombaud,33,maison,avant 1948,,126,E,E,228
2633E1520051Z,2026-06-05,,33356_0455_00011,11 Route de la Dorette 33126 La Rivière,33126,La Rivière,33,maison,avant 1948,,57.3,F,C,333
2633E1510633T,2026-06-05,,33529_0820,Rue du Coutoum 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1978-1982,,65,D,D,166
2633E1514143T,2026-06-05,2R91QVHG4PM5,33069_1660_00318,318 Avenue de Tivoli 33110 Le Bouscat,33110,Le Bouscat,33,maison,avant 1948,,231.2,B,A,74
2633E1510945T,2026-06-05,B4J8SZHS2FXT,33063_2400_00112,112 Rue Croix de Seguey 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,58.2,E,E,301
2633E1517545P,2026-06-05,4A4DV6CJWRR8,33522_1110_00130,130 Rue Frédéric Sevene 33400 Talence,33400,Talence,33,immeuble,1948-1974,,,D,D,183
2633E1517753P,2026-06-05,5GA9SVRPBBB1,33009_1770_00001,1 Rue des Pecheries 33120 Arcachon,33120,Arcachon,33,immeuble,2001-2005,,,C,A,124
2633E1511666M,2026-06-05,,33207_2190_00325,325 Avenue du Général de Gaulle 33450 Izon,33450,Izon,33,maison,après 2021,,98.7,A,A,58
2633E1513925J,2026-06-05,,33063_2710_00030,30 Rue Docteur Charles Nancel Pénard 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,41.4,C,B,158
2633E1510449R,2026-06-05,,33063_oqjf9d_00092,92 Rue du Velodrome 33200 Bordeaux,33200,Bordeaux,33,appartement,1948-1974,,45.1,F,F,326
2633E1518958Y,2026-06-05,ZWJ33KDRKPG1,33200_0569_00004_b,4B Rue de Los Héros 33185 Le Haillan,33185,Le Haillan,33,appartement,2013-2021,2013,30.6,C,C,96
2633E1518972M,2026-06-05,7ZM21545RQ8F,33090_6400_00006,6 allée des jacinthes 33610 Canéjan,33610,Canéjan,33,appartement,2013-2021,2017,44.4,C,C,81
2633E1515736A,2026-06-05,D4AN2Y29KKB1,33018_0348_00033,33 Rue du Merlot 33240 Val de Virvée,33240,Val de Virvée,33,maison,2006-2012,,79.9,C,B,162
2633E1519931J,2026-06-05,9HVDZZ9759NV,33063_7535_00001,1 Rue de Preignac 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,31.5,C,A,153
2633E1511576A,2026-06-05,,33281_1225_00001,1 Place Gerard Philipe 33700 Mérignac,33700,Mérignac,33,maison,1948-1974,,118,E,E,309
2633E1518464Y,2026-06-05,RFBQTB5H5PQC,33281_1466_00018,18 Rue Jean Giono 33700 Mérignac,33700,Mérignac,33,appartement,2013-2021,,62.1,B,B,56
2633E1513857T,2026-06-05,K88CSQD454VC,33162_0107,Rue Charles Péguy 33320 Eysines,33320,Eysines,33,maison,2006-2012,2006,55.5,C,A,123
2633E1511461P,2026-06-05,,33207_2190_00325,325 Avenue du Général de Gaulle 33450 Izon,33450,Izon,33,maison,après 2021,,86,A,A,39
2633E1509711H,2026-06-05,1D3462FV4BSB,33063_0355_00026,26 Avenue d'Arès 33200 Bordeaux,33200,Bordeaux,33,appartement,avant 1948,,33.7,C,A,153
2633E1511573X,2026-06-05,,33126_7nrbm0_00920,920 Route du Fenouil 33920 Civrac-de-Blaye,33920,Civrac-de-Blaye,33,maison,avant 1948,,457.6,B,A,108
2633E1510385F,2026-06-05,EGKHK41F3GWK,33075_0344_00004,4 Rue du Réduit 33520 Bruges,33520,Bruges,33,appartement,2013-2021,,39.8,B,B,64
2633E1518940G,2026-06-05,X7WQYKD8PJQZ,33063_0365_00016,16 Cours de l'Argonne 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,40.9,C,A,111
2633E1520740M,2026-06-05,PTMGZXHKZRA9,33243_0900_00044,44 Avenue Louis Didier 33500 Libourne,33500,Libourne,33,maison,2001-2005,,106,C,B,177
2633E1515174K,2026-06-05,W7RDY9PD1BM9,33063_8135_00065,65 Rue des Sablières 33800 Bordeaux,33800,Bordeaux,33,appartement,1983-1988,1983,20.1,C,A,211
2633E1515895D,2026-06-05,,33063_2310_00017,17 Rue Cornac 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,99.5,D,B,223
2633E1510648I,2026-06-05,R4YKDKCDZ268,33522_2450_00085,85 Rue Roustaing 33400 Talence,33400,Talence,33,appartement,1989-2000,,26.1,C,A,138
2633E1510605R,2026-06-05,,33192_3377_00009,9 Rue Arthur Rimbaud 33170 Gradignan,33170,Gradignan,33,maison,1989-2000,2000,91.5,C,C,147
2633E1514948S,2026-06-05,KETVKHWMEB4P,33268_0131_00013,13 Route du Port d'Issan 33460 Margaux-Cantenac,33460,Margaux-Cantenac,33,maison,avant 1948,,151.7,E,E,291
